id,ma_cam_bien,luu_luong_khai_thac
7712d710-902e-4f4b-8c01-948f391075f7,CB-KTN-203,288
70eba259-ea56-4735-87f6-e2ea30b7a32b,CB-KTN-204,
55db0f59-cdb2-46d5-9c81-637f2394890c,CB-KTN-205,960
aa224e8d-87bb-4ccd-97c4-5c479057d260,CB-KTN-206,500
6d94a810-0246-432d-8e8d-7eaafcf56373,CB-KTN-207,
7f3daac9-f34b-45da-b3ea-cb625d759e7d,CB-KTN-208,
b93f4d7e-40a3-4fd4-845f-f560f53a6a86,CB-KTN-209,
0b9f9ccc-d741-4908-b6cc-56979b2ec362,CB-KTN-210,
c96106ac-a769-4b47-aa34-f81806e2328e,CB-KTN-211,
e74f3518-762a-4087-9c6e-e103dabe1fa2,CB-KTN-212,
b2a33bbd-2c19-40e1-8766-4a2816fbd1d8,CB-KTN-213,
5acc7fb9-d938-414f-9589-a949c8869fa5,CB-KTN-214,
beedfb0c-3a9f-4e19-b573-b9548807d958,CB-KTN-215,
282654d1-ce28-4b56-9353-644db9a3c248,CB-KTN-216,
a5cee356-4f10-4de8-b3b1-d3f4f0816cde,CB-KTN-217,
3fec41c7-de62-48cf-b3dd-b4710b181bb2,CB-KTN-218,
a8c254e3-f374-45d2-ba78-7ee4674b5585,CB-KTN-219,
5b27472c-f5f5-41b2-8e7f-8e5ee63cdf70,CB-KTN-220,288
95977c94-5dbc-4474-a8de-81829a7bae9f,CB-KTN-221,500
f0e46673-ce0b-495e-81ee-83e618b7fce3,CB-KTN-222,500
0df5f0cc-32fe-40d2-9fba-ff8fa5bbf0bb,CB-KTN-223,
36735a6d-33e2-4c76-aebb-03a97cbecf3e,CB-KTN-224,1100
32d79a50-963b-400d-aacd-f57a4f75ff5a,CB-KTN-225,1100
83ace977-4983-4b29-9b3d-725a542d7412,CB-KTN-226,288
7fca2656-e57f-47f1-9fb5-5e8cf9f8ee57,CB-KTN-227,288
055a4c63-ccda-43be-9823-abaa6d4a85f6,CB-KTN-228,
69e4cb00-0e25-4ac6-95cf-f73375548515,CB-KTN-229,1200
e86922f6-31e7-45d3-948a-bf28e63f3673,CB-KTN-230,1200
3103f398-168f-4107-9d3d-30703d5f3d71,CB-KTN-231,1200
b21191e1-3206-4fec-9fc9-a41de02ee373,CB-KTN-232,1200
13ece38f-16b4-4dc5-87f7-d35eec285e3c,CB-KTN-233,800
686e2296-68a2-41d3-a6fd-d205395748ac,CB-KTN-234,1200
1a26e0ba-dd85-4d4c-b931-e0023bdff289,CB-KTN-235,288
2084b591-812e-42dd-b8a1-b9d9c85e67f8,CB-KTN-236,
df1f1b3e-083d-4d6e-b65b-255faa00f272,CB-KTN-237,
191256e3-070f-4699-8029-a7152b0aa67f,CB-KTN-238,
58a9c6ac-2dd3-4019-96ca-6bc9f37df19a,CB-KTN-239,960
8628c055-f4f0-449f-81dc-fc6a9437fc18,CB-KTN-240,360
0c4bb169-39c9-4316-abb3-ec6812eb1d20,CB-KTN-241,360
4e55c3aa-5a2b-4c81-9b5a-ffe781e6227a,CB-KTN-242,960
b779550c-12e3-455a-9a3c-93afa73e985d,CB-KTN-243,960
701316fb-f7db-4c18-97d7-4427ea696799,CB-KTN-244,288
bf2c0019-87cb-4360-931b-7d66652dcaae,CB-KTN-245,
fe6c3ad8-9a96-4002-840c-ddd546851d29,CB-KTN-246,
b57d58fc-64bb-4e62-8952-e4b00b38632d,CB-KTN-247,288
9b9bdbe1-ad60-4ae8-8e1a-2b3f929353e2,CB-KTN-248,
8d7d92c8-f522-4c0f-9851-2f5d629c1b81,CB-KTN-249,
2b90ab88-53bb-4336-9c1b-4867c51c48c4,CB-KTN-250,480
8b5b967b-bd21-4491-a00b-f3d20f6e2f46,CB-KTN-251,480
95839d7e-0678-4b66-8d03-be41e2151960,CB-KTN-252,288
2d32dcea-62d2-4ccc-8fd9-ef4e2660128e,CB-KTN-253,288
83746a85-e26b-4bc8-8c3d-1a8a9b1c4212,CB-KTN-254,
6d865110-0479-4357-8fd8-5e8763ecbbc8,CB-KTN-255,
66180c8c-1d81-4b3b-a04a-04dbc5227d1f,CB-KTN-256,
0f011536-8271-4cdc-84d5-0057608f0c6e,CB-KTN-257,288
8f9f1857-2017-425f-a473-7aacaab3ca87,CB-KTN-258,
dbe3f8f0-52c3-44e1-b574-e7b39a986e08,CB-KTN-259,
ed8ceda3-d0dd-44ca-8b6f-ee9d35bc9d6f,CB-KTN-260,288
d129efa9-aad7-4fae-9a0e-a8dfbf43c4b8,CB-KTN-261,
e830fedd-d12d-49fc-8422-2ce5054cc9ee,CB-KTN-262,
45e2c0ce-b2d7-4492-b090-a0f17b2fb0c2,CB-KTN-263,
afe6836e-31cd-4ee8-bab3-fcf74021000c,CB-KTN-264,720
39c632c6-5dce-42e2-ac45-c12d7dc481e2,CB-KTN-265,720
772e83dc-1f9b-4b2e-bc65-f3dc22599fbd,CB-KTN-266,720
7560a607-3cbd-4930-8d95-8d55e48657ed,CB-KTN-267,720
b6e3ab5b-9f9d-429e-84a5-7bb8cbbea2b7,CB-KTN-268,288
f63794ac-9f90-481e-849a-7eaa07ec7715,CB-KTN-269,288
04129ee1-aec5-4d02-92ae-819437c08777,CB-KTN-270,288
298e64ef-91e4-4239-b85e-f10b2e24ec7c,CB-KTN-271,
1a63b149-ebd5-40fb-94fe-5a0819475b36,CB-KTN-272,
bf48550f-9b51-4a52-a3b1-ac5682714952,CB-KTN-273,288
13877888-5afc-452c-bf20-a0059039fcb4,CB-KTN-274,
30f2e33e-612e-4b4b-bfc1-16b65fb7cdb9,CB-KTN-275,288
1f2da525-5be4-425a-ad6d-e8fa59c02a61,CB-KTN-276,
d847b4ae-c1a7-4cfe-bf3b-0c1818653c75,CB-KTN-277,
d639f321-c3c4-4d80-b6a6-e42592b3e844,CB-KTN-278,288
c79f5e24-fdb5-469e-810b-e55b89cec065,CB-KTN-279,
99705f99-0fda-4b6d-ad5f-c093f37cc53e,CB-KTN-280,
87c930c8-f3ab-4c1a-9c71-e3e233be37b1,CB-KTN-281,
a01a0faa-fea4-40df-a910-fd658a85660e,CB-KTN-282,288
7a81f5ce-960f-4770-b3d5-8eda6fb6f19c,CB-KTN-283,288
0582f5f7-ac21-482c-b091-60e8f44b0d21,CB-KTN-284,
1e3c5bfb-bfa1-4f3f-b753-d48819cd9e8e,CB-KTN-285,288
64170aef-a260-4c78-9b5b-7f7f19ed5ee7,CB-KTN-286,
62a76c94-a723-4b2a-8b7d-0212d3fb91f1,CB-KTN-287,288
4e15e9f5-30c6-4762-9e78-fa7bdbb13e1d,CB-KTN-288,
4ddebb97-c635-4df4-a676-2cb5655f9ebe,CB-KTN-289,
d2f41a3a-6b80-460c-8c11-1f1bbc5e30d4,CB-KTN-290,
767918b4-98dc-431c-aff8-18258fdecc9f,CB-KTN-291,
74943e5d-3f56-49dd-8dd2-355d4ca20690,CB-KTN-292,
6acc2aa9-0e20-4c66-befb-5c3b2f08bad9,CB-KTN-293,
a98a740c-1006-4422-be99-fc9be47ffd24,CB-KTN-294,
3b1d11a7-f632-4187-9cac-ef2a7f90c984,CB-KTN-295,
8a7bcdbc-8574-4f3c-9cb7-c7f14a50f059,CB-KTN-296,
6a96cea7-8790-4160-844c-ce42a0fc01d9,CB-KTN-297,288
899d2e86-1aff-4740-a7f6-d91263c33864,CB-KTN-298,
a3dc5aa5-e38e-4ae5-aa5b-7b26aea429c6,CB-KTN-299,
6d7aae8e-6ff1-4a0f-992f-64961af98473,CB-KTN-300,288
a6f4c751-78e0-4088-a06d-377252b0c0dc,CB-KTN-301,
f3cf66fc-157c-4d4d-b983-a176e08f1ca0,CB-KTN-302,
293be44d-e3da-48fa-910f-0e5c39831185,CB-KTN-303,
4c2c98eb-22aa-423f-9060-c2ec007117fe,CB-KTN-304,288
8b79e6ca-3a4f-4819-ae52-d4bed174bbd2,CB-KTN-305,480
c6c1c56f-0cc3-44fd-8edf-9dbc8ffa7d40,CB-KTN-306,400
e3b285ae-c7b6-4de4-a646-93fa9eb17218,CB-KTN-307,400
98d8f7cd-57c6-48e3-b571-927e5f38ea9a,CB-KTN-308,288
96d8245f-b7a7-43fc-87e7-42ee74f6c335,CB-KTN-309,480
e84a3839-42e5-4392-8944-35d3d6d66c12,CB-KTN-310,479
ee700997-ae8d-43c6-bfc4-1f14ae2b5cf9,CB-KTN-311,120
e545b11d-2a9f-4838-a75c-9b334cb31706,CB-KTN-312,288
29e588be-5a3c-4b54-835f-2d93d592bf08,CB-KTN-313,150
bc9e23a8-e61e-4e00-be92-937f2d7995c3,CB-KTN-314,120
be549c17-5f03-4e1e-9318-d6c25080decf,CB-KTN-315,150
f7108aed-bfc9-4c81-a277-b7be75db5473,CB-KTN-316,240
befc5355-9f2c-4aa0-a93a-a5c03ddb370d,CB-KTN-317,480
3dd187a5-a188-43c4-ae3a-371ed5c0334e,CB-KTN-318,120
6775e790-4b9d-4488-b297-8f673915ebac,CB-KTN-319,120
b2bb1b9f-cb45-409b-ba92-b36127e64d93,CB-KTN-320,360
6861c395-7972-42e3-b857-98b2d90ffa6a,CB-KTN-321,140
1e09d589-2020-4a37-b1a2-1d5ef6b3e104,CB-KTN-322,120
366df75a-5229-436b-befa-2afa0652b536,CB-KTN-323,100
4a2c3926-2e5d-4a59-a0a6-e61a4a2a2fbc,CB-KTN-324,100
56cbd0e4-d76a-4d5a-b5f8-90372f5e065d,CB-KTN-325,300
f1067fb7-2b65-43d0-bf31-1dc6a5490094,CB-KTN-326,120
1a59109e-ac4b-4d60-b776-3239dccffd95,CB-KTN-327,100
6dab95f5-db8c-4748-96cb-685014296a3c,CB-KTN-328,125
71394e8c-2d30-4e57-9daa-027f231187a5,CB-KTN-329,180
b31657cb-b1a6-4389-8fb9-becff4de3e6e,CB-KTN-330,150
c0d7474e-c60b-4fb4-aa55-4f4753c70c44,CB-KTN-331,150
3ae629dc-98e7-4138-90be-f78d3136e1e1,CB-KTN-332,250
d031d28e-84d0-400d-b840-9232486366ee,CB-KTN-333,100
06ea5944-e3cd-4c4b-88f7-70c06599339b,CB-KTN-334,100
bda3c1fa-3a1a-43b6-8ba3-b200658cdd4c,CB-KTN-335,130
f0119414-c790-4f37-9222-0054633d541e,CB-KTN-336,125
231c76dd-e5f9-4364-8010-9db7d217838d,CB-KTN-337,160
875e38cc-3e41-41fc-9b8b-93edd1db65e5,CB-KTN-338,140
fea37b83-d433-4684-b79d-d615f518bd5c,CB-KTN-339,175
609fb50a-e1d6-4056-b8da-526dc2b23f42,CB-KTN-340,1440
e598770f-fabb-4e5f-b96a-166efe45f350,CB-KTN-341,100
67307fa6-f9ce-4bfc-b3d8-1235270dc6a4,CB-KTN-342,100
61aa157c-e248-4907-94ee-2e0f4aa2d7a4,CB-KTN-343,180
20d8fbff-4374-41e9-845f-92faab35db05,CB-KTN-344,180
c68a3d4e-aab0-4761-8b8e-2e230c7fb055,CB-KTN-345,100
6956a242-12cb-4a2d-a2c7-e76f83ad6961,CB-KTN-346,160
20288531-2909-49f6-9b01-23a746e4704a,CB-KTN-347,120
6823fe7b-a61c-49ba-a8ec-abe28107152b,CB-KTN-348,700
281292e8-2da3-4926-be5f-81154633dc8b,CB-KTN-349,168
f22f6c07-8d94-446f-a483-38ef4d26e2a7,CB-KTN-350,288
9c9fa776-76a7-4c08-a9d7-70a46fe39a99,CB-KTN-351,400
6df30a65-7ad0-414b-b91d-3d364a881dc8,CB-KTN-352,960
c172f37d-6c2c-47c9-ad41-7b9879257285,CB-KTN-353,960
2fb967d9-dfcf-4137-8f8d-4b38a1f938b9,CB-KTN-354,408
ccca1185-3544-4e67-af11-7ab3cd921d9a,CB-KTN-355,408
53155059-69eb-40af-8d71-cc9b6a38c803,CB-KTN-356,408
bdfca782-4eeb-4612-bae7-2be4b47315c2,CB-KTN-357,10000
c5d3ae7b-3b9a-41a1-93d2-fd9255747e10,CB-KTN-358,1430
f38911f3-c48d-49e0-a27b-e88bf4aba4d7,CB-KTN-359,1430
858e2188-30e8-4b44-a7e7-3de28ef410ea,CB-KTN-360,
51154d2a-bfac-4a7d-91c6-b82431c6ed66,CB-KTN-361,800
5cdbcbdc-bfb7-4d0d-82e3-7f1bf2c203fa,CB-KTN-362,800
be277ec5-b832-49d1-b7be-18467caf9303,CB-KTN-363,800
20c1cb82-f345-458c-83e8-b44f0a3ec18f,CB-KTN-364,235
1bd968fe-01ef-49bc-b195-86e453fe920a,CB-KTN-365,15000
bf07f461-5b93-47d9-acac-b03f9ea0d38c,CB-KTN-366,600
59bad2b7-429d-419e-b7dd-356272d7d1fb,CB-KTN-367,160
